holedis,avg_strokes,count
3.0,2.25,12
5.292517006802721,2.4489795918367347,147
8.0375,2.36875,320
10.720542231491137,2.4859228362878,959
14.617161716171617,2.57975797579758,909
17.288770053475936,2.6042780748663104,374
19.97229916897507,2.7022160664819945,722
22.788793103448278,2.6379310344827585,232
25.213207547169812,2.749056603773585,530
29.702970297029704,2.8341584158415842,404
32.204081632653065,2.7653061224489797,98
34.90867579908676,2.7945205479452055,219
37.93939393939394,2.8636363636363638,66
40.41908713692946,2.896265560165975,241
44.78,2.993333333333333,150
46.98245614035088,2.912280701754386,57
49.95804195804196,3.062937062937063,143
