holedis,avg_strokes,count
1.5067507174107353,1.0214047137413558,21257
4.929390464695232,1.34987929993965,6628
7.9397338899034695,1.6376206626663188,3833
10.950841570932408,1.7993588030991183,3743
14.540738277352844,1.882607249750582,3007
17.35120240480962,1.9198396793587174,1996
20.054765886287626,1.979933110367893,2392
23.119021134593993,2.0055617352614017,899
25.401031592520955,2.0567375886524824,1551
29.5840543881335,2.0982694684796046,1618
32.43355119825708,2.10239651416122,459
35.069239500567534,2.1940976163450623,881
38.069868995633186,2.2576419213973797,229
40.36604361370716,2.2725856697819315,642
44.72323759791123,2.352480417754569,383
47.298850574712645,2.2988505747126435,87
49.95985401459854,2.3576642335766422,274
