holedis,avg_strokes,count
2.0,3.5,2
5.225806451612903,2.935483870967742,31
8.18867924528302,2.6320754716981134,106
10.747967479674797,2.821138211382114,369
14.666666666666666,2.7685185185185186,540
17.366197183098592,2.8309859154929575,213
19.958333333333332,2.8979166666666667,480
22.857142857142858,2.826530612244898,98
25.11627906976744,2.8976744186046512,215
29.706766917293233,3.0225563909774436,133
32.05555555555556,2.888888888888889,18
34.951219512195124,2.951219512195122,41
37.833333333333336,3.0,6
40.138888888888886,3.0,36
44.72727272727273,3.1818181818181817,11
46.5,3.1666666666666665,6
49.95238095238095,3.380952380952381,21
