holedis,avg_strokes,count
4.75,2.25,4
9.0,3.0,2
10.818181818181818,2.9545454545454546,22
14.470588235294118,2.9411764705882355,34
17.352941176470587,2.764705882352941,17
19.92105263157895,3.1315789473684212,38
22.545454545454547,3.1818181818181817,11
25.096774193548388,3.2903225806451615,31
29.85,3.1,20
31.5,3.25,4
35.0,3.1818181818181817,11
37.5,3.0,2
40.05882352941177,3.0588235294117645,17
44.77777777777778,3.0,9
47.2,3.2,5
49.92307692307692,3.3076923076923075,13
