gamma,mse
0.4,0.12317455591898878
0.7,0.05267211721574435
0.8,0.042352117115675915
0.9,0.03697751632722253
1.0,0.034393582459126985
1.1,0.03375277274510138
1.2,0.03532760556889566
1.3,0.04074347781039136
1.5,0.09025904490973037
