angle_deg,mean_exp
-10,2.581720677192407
-9,2.4618555702867018
-8,2.328370527402164
-7,2.2157492437564255
-6,2.113541798526161
-5,2.017515229056999
-4,1.9565828301265398
-3,1.9074151779973507
-2,1.889291990467692
-1,1.8747538009043814
0,1.8982743876850388
1,1.9376690735117132
2,1.9968394583905777
3,2.063269748301126
4,2.1905112239891267
5,2.322766017497447
6,2.5620832089179837
7,2.72114195530299
8,2.879967014176869
9,3.037822483401517
10,3.2428253064617825
